"","specimen_id","run","lanai_side","ek_day1","ek_day5","ek_day9","ek_delta","treatment","temp","rlc_order","plant_id","species","perc_delta"
"170","hm4-2","2","diamond",78.4,112.4,65.1,-0.169642857142857,"2",27,4,22,"hm",-16.964
"171","hm4-3","2","diamond",95.4,95.6,73.6,-0.228511530398323,"3",27,4,22,"hm",-22.851
"172","hm4-4","2","diamond",72.3,136.1,84.1,0.163208852005532,"4",27,4,22,"hm",16.321
"173","ul4-1","2","diamond",76.3,67.8,54,-0.292267365661861,"1",27,4,22,"ul",-29.227
"174","ul4-2","2","diamond",81.8,71.2,39.2,-0.520782396088019,"2",27,4,22,"ul",-52.078
"175","ul4-3","2","diamond",82.4,96.1,80.6,-0.0218446601941749,"3",27,4,22,"ul",-2.184
"176","ul4-4","2","diamond",100.7,102.1,78.1,-0.224428997020854,"4",27,4,22,"ul",-22.443
"177","hm5-1","2","diamond",82.6,117.5,54.3,-0.342615012106537,"1",30,5,23,"hm",-34.262
"178","hm5-2","2","diamond",104.1,65.7,47.1,-0.547550432276657,"2",30,5,23,"hm",-54.755
"179","hm5-3","2","diamond",83.6,158.4,93.4,0.117224880382775,"3",30,5,23,"hm",11.722
"180","hm5-4","2","diamond",88.3,108.4,101.3,0.14722536806342,"4",30,5,23,"hm",14.723
"181","ul5-1","2","diamond",78.3,85.6,53.7,-0.314176245210728,"1",30,5,23,"ul",-31.418
"182","ul5-2","2","diamond",99.4,94.8,55.1,-0.445674044265594,"2",30,5,23,"ul",-44.567
"183","ul5-3","2","diamond",83,92.2,80.9,-0.025301204819277,"3",30,5,23,"ul",-2.53
"184","ul5-4","2","diamond",68.1,81.5,94.5,0.387665198237886,"4",30,5,23,"ul",38.767
"185","hm6-1","2","diamond",71.1,73.6,40.6,-0.428973277074543,"1",30,6,24,"hm",-42.897
"186","hm6-2","2","diamond",72.8,78.2,74,0.0164835164835165,"2",30,6,24,"hm",1.648
"187","hm6-3","2","diamond",89.9,98.1,105.4,0.172413793103448,"3",30,6,24,"hm",17.241
"188","hm6-4","2","diamond",92.5,122.2,106.2,0.148108108108108,"4",30,6,24,"hm",14.811
"189","ul6-1","2","diamond",70.7,66.8,52.5,-0.257425742574257,"1",30,6,24,"ul",-25.743
"190","ul6-2","2","diamond",71.3,65.2,41.3,-0.420757363253857,"2",30,6,24,"ul",-42.076
"191","ul6-3","2","diamond",66.3,86.8,80.6,0.215686274509804,"3",30,6,24,"ul",21.569
"192","ul6-4","2","diamond",79.2,86.9,81.5,0.029040404040404,"4",30,6,24,"ul",2.904
"193","hm1-1","3","ewa",122.1,87.7,81,-0.336609336609337,"1",20,1,25,"hm",-33.661
"194","hm1-2","3","ewa",80.9,85.6,99.3,0.227441285537701,"2",20,1,25,"hm",22.744
"195","hm1-3","3","ewa",71,91.9,72.4,0.019718309859155,"3",20,1,25,"hm",1.972
"196","hm1-4","3","ewa",91.1,94.2,86.6,-0.0493962678375412,"4",20,1,25,"hm",-4.94
"197","ul1-1","3","ewa",69.1,73.6,82.8,0.198263386396527,"1",20,1,25,"ul",19.826
"198","ul1-2","3","ewa",70.5,74.6,67.6,-0.0411347517730497,"2",20,1,25,"ul",-4.113
"199","ul1-3","3","ewa",60.2,94.3,94.5,0.569767441860465,"3",20,1,25,"ul",56.977
"200","ul1-4","3","ewa",68.7,78.3,89.1,0.296943231441048,"4",20,1,25,"ul",29.694
"201","hm2-1","3","ewa",170.2,132.5,167.7,-0.0146886016451234,"1",20,2,26,"hm",-1.469
"202","hm2-2","3","ewa",192.5,120.9,87.6,-0.544935064935065,"2",20,2,26,"hm",-54.494
"203","hm2-3","3","ewa",213.6,104.6,86.9,-0.593164794007491,"3",20,2,26,"hm",-59.316
"204","hm2-4","3","ewa",256.6,125.7,122.9,-0.521044427123928,"4",20,2,26,"hm",-52.104
"205","ul2-1","3","ewa",128.9,101.4,84,-0.34833204034135,"1",20,2,26,"ul",-34.833
"206","ul2-2","3","ewa",128.2,97.1,87.8,-0.315132605304212,"2",20,2,26,"ul",-31.513
"207","ul2-3","3","ewa",129.5,122.6,104.1,-0.196138996138996,"3",20,2,26,"ul",-19.614
"208","ul2-4","3","ewa",122.4,126.5,95.4,-0.220588235294118,"4",20,2,26,"ul",-22.059
"209","hm3-1","3","ewa",171,88.6,77,-0.549707602339181,"1",27,3,27,"hm",-54.971
"210","hm3-2","3","ewa",101.7,72.9,81,-0.20353982300885,"2",27,3,27,"hm",-20.354
"211","hm3-3","3","ewa",132,65.8,74.1,-0.438636363636364,"3",27,3,27,"hm",-43.864
"212","hm3-4","3","ewa",139,102.4,98.2,-0.293525179856115,"4",27,3,27,"hm",-29.353
"213","ul3-1","3","ewa",99.4,97.8,89.2,-0.10261569416499,"1",27,3,27,"ul",-10.262
"214","ul3-2","3","ewa",58,46.4,41.8,-0.279310344827586,"2",27,3,27,"ul",-27.931
"215","ul3-3","3","ewa",89.1,93.2,92.5,0.0381593714927049,"3",27,3,27,"ul",3.816
"216","ul3-4","3","ewa",99.1,119.8,106.3,0.0726538849646822,"4",27,3,27,"ul",7.265
"217","hm4-1","3","ewa",176.5,106.3,73.2,-0.585269121813031,"1",27,4,28,"hm",-58.527
"218","hm4-2","3","ewa",192.2,82.1,66.1,-0.656087408949011,"2",27,4,28,"hm",-65.609
"219","hm4-3","3","ewa",149.8,97.6,60.5,-0.596128170894526,"3",27,4,28,"hm",-59.613
"220","hm4-4","3","ewa",236.4,87.6,52.5,-0.777918781725888,"4",27,4,28,"hm",-77.792
"221","ul4-1","3","ewa",107.7,80.8,64.6,-0.400185701021356,"1",27,4,28,"ul",-40.019
